iter	Logloss
0	0.6565942383
1	0.6261024059
2	0.5985738858
3	0.5750840621
4	0.5523096813
5	0.5315627774
6	0.5134861617
7	0.4984290106
8	0.4867678001
9	0.4757680997
10	0.4632351407
11	0.4535607078
12	0.4440327592
13	0.4367746804
14	0.4302506048
15	0.4232211581
16	0.418548695
17	0.4127353738
18	0.4079975198
19	0.4037944724
20	0.4003719815
21	0.3973231368
22	0.3943735296
23	0.3911793379
24	0.388961792
25	0.3860945268
26	0.3834600275
27	0.3812850952
28	0.3796837824
29	0.3776195179
30	0.3756402588
31	0.3736266258
32	0.3717529297
33	0.3704222801
34	0.3689887584
35	0.3674594116
36	0.3663317871
37	0.3653911799
38	0.3642254084
39	0.3634290661
40	0.3622508933
41	0.3612219238
42	0.3601286732
43	0.3592827814
44	0.3585663952
45	0.3578917902
46	0.3572780262
47	0.3567237438
48	0.3561499301
49	0.3555043723
50	0.3550353726
51	0.354539573
52	0.35400718
53	0.3535434515
54	0.352826871
55	0.3521891369
56	0.3517196933
57	0.3511589189
58	0.3506118497
59	0.3501714533
60	0.3498285467
61	0.3495393788
62	0.3490079013
63	0.3485049161
64	0.3482223788
65	0.3477472479
66	0.3473231645
67	0.3469046021
68	0.3465683816
69	0.3462955544
70	0.3458934437
71	0.3456476108
72	0.3454160656
73	0.3451568604
74	0.344820196
75	0.3444505171
76	0.3440074019
77	0.3437060547
78	0.3434947898
79	0.3432909047
80	0.3429540461
81	0.3426180753
82	0.3423522949
83	0.3419909945
84	0.3417340643
85	0.3415160023
86	0.3412198986
87	0.3408544922
88	0.3404610374
89	0.3401657937
90	0.3399058949
91	0.3395542214
92	0.3394038252
93	0.3390008822
94	0.3387990501
95	0.3385752175
96	0.3383556574
97	0.3382326161
98	0.3380494274
99	0.3378407981
100	0.3376250943
101	0.3373268821
102	0.3371961282
103	0.3369981246
104	0.3367945168
105	0.3365349787
106	0.3362337425
107	0.3359362238
108	0.3357991999
109	0.3356054688
110	0.3353500644
111	0.3351149126
112	0.3348585372
113	0.3345818814
114	0.3342058216
115	0.3340371427
116	0.3338337291
117	0.3336902965
118	0.3334472379
119	0.333266768
120	0.3330255682
121	0.3327874201
122	0.3326120827
123	0.3323023571
124	0.3320314442
125	0.3318137706
126	0.3315520685
127	0.331262429
128	0.331106068
129	0.3307909324
130	0.3306079102
131	0.3302556263
132	0.3299928145
133	0.3298428622
134	0.3297053112
135	0.3294878873
136	0.3292118142
137	0.328977245
138	0.3287654807
139	0.3285900324
140	0.3284915161
141	0.3282262074
142	0.328045904
143	0.3279121538
144	0.327759011
145	0.327639604
146	0.3275472745
147	0.327302801
148	0.3271274913
149	0.3269009122
150	0.3265970403
151	0.3264021995
152	0.3262091342
153	0.3259719571
154	0.3257481246
155	0.3255453214
156	0.3253353882
157	0.3250760165
158	0.3249604104
159	0.3249447354
160	0.3247399625
161	0.3245759444
162	0.3243404597
163	0.3240919911
164	0.3239218972
165	0.3237174017
166	0.3234517045
167	0.3231999068
168	0.3230008767
169	0.3228369418
170	0.3227185613
171	0.3225756004
172	0.3223349276
173	0.3219921043
174	0.3218078613
175	0.3216751376
176	0.321414462
177	0.3211973156
178	0.32105355
179	0.3208732189
180	0.3205754783
181	0.3203592474
182	0.3201600508
183	0.3200135942
184	0.3197516424
185	0.3195096103
186	0.3192889404
187	0.3190007158
188	0.3188866078
189	0.3187445346
190	0.3185283314
191	0.3183788508
192	0.3181532149
193	0.317879167
194	0.317696228
195	0.3174904286
196	0.3172134954
197	0.3170054765
198	0.3167378096
199	0.3165033791
200	0.3162735263
201	0.3161375289
202	0.3159378329
203	0.3156884766
204	0.3154907227
205	0.3151666537
206	0.3148290461
207	0.3146620317
208	0.3144805076
209	0.3142237993
210	0.3139764959
211	0.3137270008
212	0.3135182606
213	0.3132481523
214	0.313094205
215	0.3128615501
216	0.3125675826
217	0.3123984042
218	0.3122446511
219	0.3121074885
220	0.3118187922
221	0.3116699774
222	0.3114665916
223	0.3112518865
224	0.3110177335
225	0.3107711792
226	0.3105284535
227	0.310212985
228	0.3100337913
229	0.3098151744
230	0.3096051025
231	0.309467607
232	0.309296875
233	0.3091723078
234	0.309003074
235	0.3086640791
236	0.3084834428
237	0.3082202148
238	0.308115595
