iter	Passed	Remaining
0	126	63353
1	134	33596
2	142	23609
3	152	18871
4	162	16103
5	171	14148
6	181	12794
7	190	11694
8	199	10873
9	209	10258
10	219	9762
11	233	9478
12	242	9095
13	255	8881
14	264	8556
15	272	8233
16	280	7973
17	288	7720
18	296	7516
19	304	7306
20	312	7137
21	320	6964
22	329	6842
23	337	6692
24	345	6568
25	354	6460
26	362	6356
27	370	6249
28	378	6146
29	386	6057
30	394	5963
31	403	5897
32	413	5845
33	422	5786
34	430	5722
35	438	5653
36	446	5582
37	454	5523
38	461	5458
39	469	5404
40	478	5351
41	485	5293
42	493	5241
43	500	5188
44	508	5141
45	516	5093
46	523	5045
47	531	5000
48	538	4960
49	546	4918
50	554	4879
51	561	4841
52	569	4805
53	577	4767
54	585	4737
55	603	4784
56	611	4755
57	619	4724
58	627	4692
59	635	4660
60	643	4631
61	651	4601
62	658	4570
63	666	4539
64	673	4508
65	681	4480
66	689	4458
67	698	4437
68	706	4412
69	714	4390
70	724	4379
71	732	4353
72	740	4334
73	748	4311
74	757	4290
75	764	4265
76	772	4243
77	780	4221
78	789	4205
79	796	4181
80	805	4166
81	814	4149
82	822	4131
83	829	4110
84	838	4094
85	846	4072
86	854	4055
87	869	4070
88	877	4052
89	885	4032
90	892	4012
91	900	3995
92	908	3976
93	917	3962
94	925	3944
95	933	3928
96	942	3917
97	953	3912
98	964	3904
99	972	3889
100	981	3876
101	989	3859
102	997	3844
103	1005	3826
104	1013	3811
105	1020	3794
106	1029	3780
107	1037	3765
108	1045	3749
109	1052	3733
110	1061	3718
111	1068	3701
112	1076	3686
113	1084	3672
114	1092	3657
115	1100	3642
116	1107	3626
117	1115	3612
118	1124	3599
119	1132	3585
120	1139	3570
121	1148	3558
122	1156	3546
123	1164	3532
124	1172	3517
125	1180	3503
126	1189	3493
127	1198	3483
128	1207	3472
129	1216	3461
130	1225	3450
131	1233	3438
132	1242	3429
133	1251	3417
134	1259	3406
135	1268	3394
136	1276	3383
137	1284	3370
138	1293	3359
139	1302	3349
140	1311	3338
141	1320	3329
142	1329	3320
143	1340	3314
144	1351	3307
145	1359	3297
146	1371	3293
147	1381	3284
148	1390	3276
149	1399	3265
150	1407	3253
151	1416	3242
152	1424	3230
153	1433	3220
154	1442	3210
155	1452	3203
156	1461	3192
157	1471	3184
158	1480	3175
159	1485	3157
160	1493	3145
161	1502	3134
162	1510	3122
163	1518	3111
164	1527	3101
165	1534	3088
166	1543	3077
167	1550	3064
168	1558	3051
169	1565	3039
170	1573	3026
171	1580	3013
172	1588	3002
173	1596	2990
174	1604	2979
175	1613	2969
176	1620	2957
177	1628	2945
178	1635	2933
179	1643	2921
180	1651	2910
181	1658	2898
182	1666	2887
183	1674	2875
184	1682	2864
185	1689	2852
186	1697	2840
187	1705	2830
188	1713	2818
189	1720	2807
190	1728	2795
191	1735	2784
192	1744	2774
193	1753	2765
194	1761	2755
195	1770	2746
196	1779	2736
197	1788	2727
198	1797	2719
199	1806	2709
200	1814	2699
201	1823	2689
202	1832	2680
203	1840	2670
204	1850	2662
205	1858	2652
206	1867	2643
207	1876	2634
208	1885	2625
209	1893	2614
210	1901	2604
211	1909	2593
212	1923	2592
213	1932	2582
214	1939	2571
215	1948	2561
216	1956	2552
217	1964	2541
218	1972	2531
219	1980	2520
220	1990	2512
221	1998	2502
222	2005	2491
223	2013	2480
224	2022	2471
225	2029	2460
226	2037	2450
227	2045	2439
228	2052	2428
229	2060	2419
230	2068	2408
231	2076	2398
232	2083	2387
233	2091	2377
234	2098	2366
235	2106	2355
236	2114	2346
237	2122	2336
238	2130	2326
239	2138	2316
240	2146	2306
241	2153	2296
242	2161	2285
243	2169	2275
244	2176	2265
245	2184	2255
246	2191	2245
247	2199	2234
248	2206	2224
249	2214	2214
