customer_id,tenure_months,monthly_charges,usage_minutes,support_calls,payment_delay_days,contract_type,autopay,num_services,satisfaction_score,signup_channel,marketing_segment,favorite_color,lucky_number,churn
CUST100000,60,78.04,512,8,4.4,two-year,1,3,6.0,referral,B,yellow,7,0
CUST100001,6,140.22,170,3,5.4,month-to-month,0,2,5.0,referral,B,red,18,0
CUST100002,39,89.22,377,1,0.0,month-to-month,0,2,10.0,ads,C,green,72,1
CUST100003,54,40.36,401,0,0.9,two-year,0,5,10.0,organic,B,black,58,0
CUST100004,33,112.11,377,4,0.6,month-to-month,1,4,4.5,organic,A,white,68,0
CUST100005,36,134.28,453,1,2.8,month-to-month,0,4,4.9,referral,A,blue,47,0
CUST100006,64,140.26,223,3,5.6,one-year,1,5,10.0,referral,C,red,8,0
CUST100007,45,72.29,537,3,4.3,two-year,1,3,8.6,referral,C,black,87,0
CUST100008,25,125.72,280,1,5.4,month-to-month,1,5,7.0,referral,B,white,5,0
CUST100009,36,114.88,669,6,4.2,month-to-month,1,5,8.9,partner,B,green,55,0
CUST100010,21,136.76,469,3,2.2,month-to-month,1,3,5.4,ads,C,green,10,0
CUST100011,42,116.51,500,5,6.5,one-year,0,3,6.4,referral,A,blue,13,1
CUST100012,29,130.14,332,2,1.5,two-year,0,1,7.3,organic,B,yellow,34,0
CUST100013,26,74.15,357,1,7.4,one-year,0,2,2.1,organic,A,red,38,0
CUST100014,16,83.03,592,4,8.7,month-to-month,1,2,4.5,partner,A,yellow,82,0
CUST100015,21,46.9,235,3,3.3,month-to-month,0,3,7.9,referral,A,white,13,1
CUST100016,33,104.16,419,1,7.6,one-year,0,3,4.4,ads,B,white,78,0
CUST100017,29,35.05,422,0,4.7,two-year,0,2,7.2,organic,A,green,36,0
CUST100018,35,56.08,479,3,5.6,one-year,0,5,5.5,ads,A,green,3,0
CUST100019,22,113.21,451,4,0.0,one-year,0,3,3.9,organic,B,black,17,0
CUST100020,45,137.62,480,2,0.0,two-year,1,5,9.9,ads,A,green,4,0
CUST100021,41,124.08,347,3,0.4,month-to-month,1,4,4.9,referral,B,black,78,0
CUST100022,45,94.49,751,3,5.3,two-year,0,4,9.0,ads,A,green,67,0
CUST100023,36,141.16,421,6,5.4,month-to-month,0,2,5.5,ads,C,white,48,1
CUST100024,44,102.74,555,3,3.6,one-year,0,2,4.0,ads,B,black,3,0
CUST100025,45,47.92,556,2,7.0,month-to-month,0,1,9.7,partner,B,white,97,0
