tenure_months,monthly_charges,usage_minutes,support_calls,payment_delay_days,contract_type,autopay,num_services,satisfaction_score,signup_channel,marketing_segment,churn
60,78.04,512,8,4.4,two-year,1,3,6.0,referral,B,0
6,140.22,170,3,5.4,month-to-month,0,2,5.0,referral,B,0
39,89.22,377,1,0.0,month-to-month,0,2,10.0,ads,C,1
54,40.36,401,0,0.9,two-year,0,5,10.0,organic,B,0
33,112.11,377,4,0.6,month-to-month,1,4,4.0,organic,A,0
36,134.28,453,1,2.8,month-to-month,0,4,5.0,referral,A,0
64,140.26,223,3,5.6,one-year,1,5,10.0,referral,C,0
45,72.29,537,3,4.3,two-year,1,3,9.0,referral,C,0
25,125.72,280,1,5.4,month-to-month,1,5,7.0,referral,B,0
36,114.88,669,6,4.2,month-to-month,1,5,9.0,partner,B,0
21,136.76,469,3,2.2,month-to-month,1,3,5.0,ads,C,0
42,116.51,500,5,6.5,one-year,0,3,6.0,referral,A,1
29,130.14,332,2,1.5,two-year,0,1,7.0,organic,B,0
26,74.15,357,1,7.4,one-year,0,2,2.0,organic,A,0
16,83.03,592,4,8.7,month-to-month,1,2,4.0,partner,A,0
21,46.9,235,3,3.3,month-to-month,0,3,8.0,referral,A,1
33,104.16,419,1,7.6,one-year,0,3,4.0,ads,B,0
29,35.05,422,0,4.7,two-year,0,2,7.0,organic,A,0
35,56.08,479,3,5.6,one-year,0,5,6.0,ads,A,0
22,113.21,451,4,0.0,one-year,0,3,4.0,organic,B,0
45,137.62,480,2,0.0,two-year,1,5,10.0,ads,A,0
41,124.08,347,3,0.4,month-to-month,1,4,5.0,referral,B,0
45,94.49,751,3,5.3,two-year,0,4,9.0,ads,A,0
36,141.16,421,6,5.4,month-to-month,0,2,6.0,ads,C,1
44,102.74,555,3,3.6,one-year,0,2,4.0,ads,B,0
45,47.92,556,2,7.0,month-to-month,0,1,10.0,partner,B,0
5,76.19,77,4,4.3,month-to-month,1,4,5.0,ads,B,1
72,132.76,217,4,3.7,one-year,0,4,6.0,ads,A,0
8,140.23,313,2,3.3,two-year,0,1,8.0,partner,C,0
47,138.53,354,5,3.0,month-to-month,1,1,7.0,organic,A,0
35,25.45,456,4,1.2,month-to-month,0,1,2.0,ads,B,1
41,103.77,458,0,0.0,month-to-month,1,4,8.0,ads,A,0
34,84.78,317,3,6.1,month-to-month,1,4,7.0,partner,A,0
22,77.77,156,3,3.3,month-to-month,0,1,1.0,partner,A,1
65,29.83,631,3,0.0,one-year,1,4,8.0,referral,B,0
11,69.68,535,2,16.4,month-to-month,0,1,5.0,ads,C,1
35,80.5,506,3,4.4,two-year,1,1,5.0,organic,B,0
1,59.31,483,8,11.2,month-to-month,1,1,4.0,ads,B,1
