customer_id,tenure_months,monthly_charges,usage_minutes,support_calls,payment_delay_days,contract_type,autopay,num_services,satisfaction_score,signup_channel,marketing_segment,favorite_color,lucky_number,churn
CUST111550,44,87.89,493,1,2.5,two-year,0,4,8.2,organic,C,red,19,0
CUST111551,64,57.38,368,3,6.8,one-year,1,3,4.5,ads,B,blue,32,0
CUST111552,24,37.36,427,2,0.0,two-year,1,4,6.3,ads,A,blue,77,0
CUST111553,50,125.81,332,1,2.9,two-year,1,3,8.7,ads,B,green,65,0
CUST111554,38,61.82,464,4,1.8,one-year,1,3,5.5,ads,B,yellow,62,0
CUST111555,34,116.87,355,2,3.6,two-year,0,2,10.0,organic,A,black,63,0
CUST111556,31,142.64,761,0,6.8,month-to-month,1,4,6.2,referral,A,blue,35,0
CUST111557,12,24.53,312,7,14.1,month-to-month,0,2,3.0,ads,C,blue,61,1
CUST111558,34,32.81,621,4,0.2,month-to-month,1,4,7.2,ads,C,yellow,51,0
CUST111559,17,37.76,434,6,2.9,month-to-month,0,4,2.1,ads,B,black,75,1
CUST111560,19,100.71,447,4,10.6,one-year,0,3,7.7,referral,A,white,89,0
CUST111561,1,145.43,530,2,14.6,month-to-month,1,2,5.4,organic,A,white,95,1
CUST111562,17,71.59,313,1,10.5,one-year,0,3,4.1,organic,B,white,98,1
CUST111563,49,97.95,582,0,0.0,two-year,1,4,9.4,referral,B,black,44,0
CUST111564,46,99.59,443,5,0.0,one-year,1,3,8.9,referral,B,red,70,0
CUST111565,34,103.84,149,2,0.1,two-year,1,3,9.1,partner,C,white,85,0
CUST111566,30,94.23,465,3,4.3,month-to-month,0,4,10.0,organic,B,black,55,0
CUST111567,30,146.9,430,5,4.3,month-to-month,0,2,4.2,organic,A,yellow,40,0
CUST111568,30,55.26,388,4,1.9,one-year,1,1,5.0,organic,A,white,35,0
CUST111569,51,33.87,422,3,1.4,two-year,0,1,5.7,ads,C,yellow,1,1
CUST111570,36,48.63,648,2,4.8,one-year,0,4,4.2,organic,B,yellow,56,0
CUST111571,27,66.32,531,4,6.6,two-year,0,3,7.3,partner,B,white,72,0
CUST111572,20,122.08,259,3,7.1,one-year,0,3,6.1,organic,A,white,74,0
CUST111573,25,111.71,228,0,0.0,month-to-month,0,3,7.2,referral,A,green,18,0
CUST111574,29,82.26,374,2,0.0,month-to-month,1,3,5.1,partner,A,green,46,0
CUST111575,38,121.45,619,0,0.0,one-year,1,4,7.5,ads,C,yellow,41,0
CUST111576,23,44.85,569,6,8.7,one-year,1,4,6.5,ads,C,blue,95,0
CUST111577,37,146.38,318,1,0.6,month-to-month,1,2,7.6,referral,A,red,38,0
CUST111578,40,62.88,318,0,0.0,two-year,0,3,5.9,ads,B,blue,85,0
CUST111579,33,95.58,450,1,8.8,month-to-month,0,3,5.7,organic,A,yellow,13,0
CUST111580,65,27.63,414,3,3.1,month-to-month,0,2,9.6,ads,A,green,60,0
CUST111581,28,56.86,220,1,4.1,month-to-month,1,5,7.6,organic,C,blue,21,0
CUST111582,37,36.15,400,2,1.2,month-to-month,0,4,6.1,organic,B,green,58,0
CUST111583,42,101.03,301,3,2.5,month-to-month,0,5,10.0,organic,A,green,28,0
CUST111584,53,39.31,264,3,7.7,one-year,1,3,6.0,referral,A,white,30,0
CUST111585,59,57.95,325,1,5.7,month-to-month,1,4,9.7,organic,C,blue,81,0
CUST111586,32,78.91,254,6,2.6,month-to-month,0,3,4.6,organic,A,red,82,1
CUST111587,24,137.41,408,5,5.7,month-to-month,0,4,7.0,partner,B,white,22,1
CUST111588,26,29.6,279,2,8.2,month-to-month,0,3,7.5,referral,B,white,19,0
CUST111589,13,87.74,389,6,7.3,month-to-month,0,4,4.3,referral,B,green,74,1
CUST111590,41,109.21,454,2,3.7,month-to-month,1,1,6.9,ads,A,yellow,99,0
CUST111591,3,129.56,514,5,13.0,month-to-month,0,2,6.5,ads,B,black,82,1
CUST111592,55,54.17,385,1,0.0,one-year,1,4,6.7,ads,A,yellow,26,0
CUST111593,68,23.48,629,4,0.0,one-year,1,6,7.6,ads,B,green,66,0
CUST111594,38,31.12,507,3,9.0,one-year,1,1,7.6,ads,A,red,81,0
CUST111595,60,87.07,572,0,0.0,one-year,0,4,7.2,referral,A,yellow,37,0
CUST111596,38,142.53,518,4,8.8,one-year,0,3,4.3,partner,C,black,30,0
CUST111597,64,98.25,396,0,0.0,month-to-month,1,6,6.6,organic,A,black,77,0
CUST111598,32,103.12,382,1,1.0,month-to-month,0,2,4.1,organic,A,black,38,1
CUST111599,30,115.31,435,0,4.0,month-to-month,0,1,7.5,ads,C,red,91,1
