iter	Passed	Remaining
0	3	1793
1	6	1647
2	10	1817
3	14	1858
4	18	1867
5	22	1872
6	27	1934
7	31	1930
8	35	1928
9	39	1936
10	44	1988
11	48	1969
12	52	1951
13	56	1947
14	60	1971
15	64	1959
16	68	1951
17	72	1938
18	76	1945
19	80	1933
20	84	1930
21	88	1920
22	92	1924
23	96	1922
24	100	1914
25	104	1904
26	108	1902
27	112	1897
28	116	1891
29	120	1882
30	124	1881
31	128	1880
32	167	2373
33	181	2486
34	208	2776
35	216	2784
36	220	2758
37	224	2734
38	229	2710
39	234	2695
40	254	2848
41	259	2824
42	263	2799
43	267	2773
44	272	2756
45	277	2734
46	281	2712
47	286	2700
48	291	2681
49	295	2658
50	299	2638
51	304	2624
52	309	2612
53	314	2594
54	319	2581
55	323	2563
56	327	2543
57	331	2525
58	339	2536
59	343	2519
60	347	2503
61	353	2495
62	357	2480
63	361	2463
64	366	2452
65	370	2436
66	374	2420
67	378	2406
68	384	2401
69	388	2389
70	393	2374
71	397	2364
72	402	2352
73	406	2337
74	409	2323
75	414	2312
76	418	2299
77	422	2285
78	426	2272
79	430	2262
80	435	2252
81	439	2238
82	443	2227
83	447	2217
84	451	2205
85	455	2193
86	459	2181
87	464	2173
88	468	2161
89	472	2150
90	475	2138
91	480	2130
92	484	2119
93	487	2107
94	491	2096
95	496	2088
96	500	2079
97	504	2069
98	508	2060
99	513	2052
100	518	2046
101	522	2038
102	527	2031
103	531	2022
104	535	2013
105	539	2003
106	543	1997
107	548	1989
108	552	1980
109	556	1971
110	560	1964
111	564	1955
112	568	1946
113	572	1938
114	577	1931
115	581	1924
116	585	1916
117	590	1910
118	594	1903
119	598	1895
120	602	1887
121	607	1882
122	612	1877
123	617	1871
124	622	1867
125	626	1860
126	631	1854
127	636	1849
128	640	1842
129	645	1837
130	650	1831
131	655	1828
132	660	1821
133	665	1817
134	670	1812
135	674	1806
136	679	1801
137	684	1794
138	689	1791
139	695	1787
140	700	1782
141	705	1779
142	711	1775
143	715	1769
144	720	1765
145	725	1759
146	730	1753
147	735	1749
148	740	1744
149	745	1739
150	750	1733
151	754	1727
152	759	1723
153	764	1716
154	768	1711
155	774	1707
156	779	1703
157	785	1699
158	790	1695
159	795	1690
160	800	1685
161	805	1679
162	809	1673
163	814	1668
164	819	1664
165	824	1658
166	829	1654
167	834	1648
168	838	1643
169	843	1636
170	848	1631
171	852	1625
172	856	1619
173	861	1614
174	865	1607
175	870	1602
176	874	1595
177	879	1591
178	884	1586
179	888	1580
180	893	1575
181	898	1569
182	902	1563
183	907	1559
184	912	1553
185	917	1548
186	921	1542
187	926	1537
188	930	1531
189	934	1525
190	938	1518
191	943	1513
192	947	1507
193	951	1501
194	955	1494
195	960	1489
196	964	1483
197	968	1476
198	972	1470
199	976	1465
200	981	1460
201	985	1454
202	990	1449
203	995	1444
204	999	1438
205	1003	1432
206	1008	1427
207	1012	1421
208	1016	1414
209	1020	1409
210	1024	1403
211	1028	1397
212	1032	1391
213	1036	1385
214	1041	1379
215	1044	1373
216	1048	1367
217	1052	1361
218	1057	1356
219	1061	1350
220	1065	1344
221	1069	1339
222	1073	1333
223	1076	1327
224	1080	1320
225	1084	1315
226	1089	1309
227	1092	1303
228	1096	1297
229	1101	1292
230	1105	1287
231	1109	1281
232	1113	1276
233	1118	1271
234	1122	1265
235	1126	1259
236	1130	1254
237	1135	1249
238	1138	1243
239	1142	1237
240	1146	1232
241	1151	1227
242	1155	1221
243	1161	1218
244	1167	1214
